<TICKER>,<SECTOR>,<INDUSTRY>
DNUT.US,Consumer Defensive,Grocery Stores
M.US,Consumer Cyclical,Department Stores
XHR.US,Real Estate,REIT—Hotel & Motel
CG.US,Financial Services,Asset Management
COE.US,Consumer Defensive,Education & Training Services
MBWM.US,Financial Services,Banks—Regional
ISEE.US,Healthcare,Biotechnology
GKOS.US,Healthcare,Medical Devices
BKSC.US,Financial Services,Banks—Regional
CHN.US,Financial Services,Asset Management
REKR.US,Technology,Software—Infrastructure
GIC.US,Industrials,Industrial Distribution
AIRC.US,Real Estate,REIT—Residential
CI.US,Healthcare,Healthcare Plans
CCK.US,Consumer Cyclical,Packaging & Containers
LCII.US,Consumer Cyclical,Recreational Vehicles
BAFN.US,Financial Services,Banks—Regional
GWRS.US,Utilities,Utilities—Regulated Water
MCLDP.US,Technology,Software—Application
DVAX.US,Healthcare,Drug Manufacturers—Specialty & Generic
AMC.US,Communication Services,Entertainment
FBNC.US,Financial Services,Banks—Regional
MCW.US,Consumer Cyclical,Personal Services
SASI.US,Technology,Information Technology Services
GGAAU.US,Financial Services,Shell Companies
CIM_B.US,NA,NA
NEOG.US,Healthcare,Diagnostics & Research
ROL.US,Consumer Cyclical,Personal Services
CSX.US,Industrials,Railroads
GDC.US,Communication Services,Electronic Gaming & Multimedia
TMST.US,Basic Materials,Steel
KOP.US,Basic Materials,Specialty Chemicals
VIRT.US,Financial Services,Capital Markets
HWC.US,Financial Services,Banks—Regional
GTY.US,Real Estate,REIT—Retail
RDNT.US,Healthcare,Diagnostics & Research
AXR.US,Real Estate,Real Estate—Development
TSLA.US,Consumer Cyclical,Auto Manufacturers
CRC.US,Energy,Oil & Gas E&P
LPCN.US,Healthcare,Biotechnology
ACHC.US,Healthcare,Medical Care Facilities
INSW.US,Energy,Oil & Gas Midstream
STEL.US,Financial Services,Banks—Regional
EVRG.US,Utilities,Utilities—Regulated Electric
SIRE.US,Basic Materials,Chemicals
BIOC.US,Healthcare,Diagnostics & Research
EHAB.US,Healthcare,Medical Care Facilities
PRO.US,Technology,Software—Application
VRCA.US,Healthcare,Biotechnology
VBFC.US,Financial Services,Banks—Regional
TTGT.US,Communication Services,Internet Content & Information
BLI.US,Healthcare,Biotechnology
FPI.US,Real Estate,REIT—Specialty
INTG.US,Consumer Cyclical,Lodging
WISA.US,Technology,Semiconductors
PRTA.US,Healthcare,Biotechnology
MSGE.US,Communication Services,Entertainment
MAPS.US,Technology,Software—Application
TDW.US,Energy,Oil & Gas Equipment & Services
ASLE.US,Industrials,Airports & Air Services
CMI.US,Industrials,Specialty Industrial Machinery
IIPR_A.US,NA,NA
DGII.US,Technology,Communication Equipment
WTS.US,Industrials,Specialty Industrial Machinery
WRB_E.US,NA,NA
MRVI.US,Healthcare,Biotechnology
AEFC.US,NA,NA
KLAC.US,Technology,Semiconductor Equipment & Materials
ALRM.US,Technology,Software—Application
SCE_J.US,NA,NA
HAL.US,Energy,Oil & Gas Equipment & Services
AEIS.US,Industrials,Electrical Equipment & Parts
AIU.US,Consumer Defensive,Education & Training Services
EKSO.US,Healthcare,Medical Instruments & Supplies
FOR.US,Real Estate,Real Estate—Development
FLYD.US,NA,NA
DEFI.US,NA,NA
ECCX.US,NA,NA
MUSA.US,Consumer Cyclical,Specialty Retail
NDRA.US,Healthcare,Diagnostics & Research
NXG.US,Financial Services,Asset Management
OSCR.US,Healthcare,Healthcare Plans
MODN.US,Technology,Software—Application
TMDX.US,Healthcare,Medical Devices
POOL.US,Industrials,Industrial Distribution
SKYW.US,Industrials,Airlines
AG.US,Basic Materials,Silver
VSCO.US,Consumer Cyclical,Apparel Retail
STKS.US,Consumer Cyclical,Restaurants
UK.US,Real Estate,Real Estate Services
ENV.US,Technology,Software—Application
GRBK.US,Consumer Cyclical,Residential Construction
JAZZ.US,Healthcare,Biotechnology
RYI.US,Industrials,Metal Fabrication
ATH_B.US,NA,NA
ACOR.US,Healthcare,Drug Manufacturers—Specialty & Generic
UBER.US,Technology,Software—Application
WGS.US,Healthcare,Health Information Services
PRDS.US,Healthcare,Biotechnology
ELME.US,Real Estate,REIT—Residential
CSV.US,Consumer Cyclical,Personal Services
PEN.US,Healthcare,Medical Devices
STAF.US,Industrials,Staffing & Employment Services
VNDA.US,Healthcare,Biotechnology
CAN.US,Technology,Computer Hardware
KALU.US,Basic Materials,Aluminum
STZ.US,Consumer Defensive,Beverages—Wineries & Distilleries
SHG.US,Financial Services,Banks—Regional
BPMC.US,Healthcare,Biotechnology
FLO.US,Consumer Defensive,Packaged Foods
GLUE.US,Healthcare,Biotechnology
OMCL.US,Healthcare,Health Information Services
NVVE.US,Consumer Cyclical,Specialty Retail
BYRN.US,Industrials,Aerospace & Defense
BHLB.US,Financial Services,Banks—Regional
WABC.US,Financial Services,Banks—Regional
ENSG.US,Healthcare,Medical Care Facilities
TGH.US,Industrials,Rental & Leasing Services
ICR_A.US,NA,NA
CLDT_A.US,NA,NA
LIVE.US,Consumer Cyclical,Home Improvement Retail
SSRM.US,Basic Materials,Gold
ZTO.US,Industrials,Integrated Freight & Logistics
AXTA.US,Basic Materials,Specialty Chemicals
LZB.US,Consumer Cyclical,Furnishings Fixtures & Appliances
MSEX.US,Utilities,Utilities—Regulated Water
MRIN.US,Technology,Software—Application
PPL.US,Utilities,Utilities—Regulated Electric
IMNM.US,Healthcare,Biotechnology
UONE.US,Communication Services,Broadcasting
PNC.US,Financial Services,Banks—Regional
CHSCO.US,Consumer Defensive,Farm Products
TTE.US,Energy,Oil & Gas Integrated
GDS.US,Technology,Information Technology Services
STSA.US,Healthcare,Biotechnology
HUM.US,Healthcare,Healthcare Plans
USAP.US,Basic Materials,Steel
BPYPP.US,Real Estate,Real Estate Services
HLT.US,Consumer Cyclical,Lodging
PRTK.US,Healthcare,Biotechnology
RLJ_A.US,NA,NA
RXST.US,Healthcare,Medical Devices
PCTTW.US,NA,NA
NH.US,Healthcare,Health Information Services
THRY.US,Communication Services,Internet Content & Information
UNP.US,Industrials,Railroads
WTRG.US,Utilities,Utilities—Regulated Water
ANPC.US,Healthcare,Biotechnology
EBIX.US,Technology,Software—Application
SA.US,Basic Materials,Gold
CTA_B.US,NA,NA
DV.US,Technology,Software—Application
NFLX.US,Communication Services,Entertainment
SNCY.US,Industrials,Airlines
OTIS.US,Industrials,Specialty Industrial Machinery
RCON.US,Energy,Oil & Gas Equipment & Services
SMTI.US,Healthcare,Medical Instruments & Supplies
AMBC.US,Financial Services,Insurance—Specialty
DLR_J.US,NA,NA
NE.US,Energy,Oil & Gas Drilling
SMLP.US,Energy,Oil & Gas Midstream
CSII.US,Healthcare,Medical Devices
NVCT.US,Healthcare,Biotechnology
SMMF.US,Financial Services,Banks—Regional
SBSI.US,Financial Services,Banks—Regional
NCNA.US,Healthcare,Biotechnology
OSUR.US,Healthcare,Medical Instruments & Supplies
CLRB.US,Healthcare,Biotechnology
COCO.US,Consumer Defensive,Beverages—Non-Alcoholic
GHG.US,Consumer Cyclical,Lodging
HNST.US,Consumer Defensive,Household & Personal Products
ATGE.US,Consumer Defensive,Education & Training Services
RACYU.US,Financial Services,Shell Companies
FEDU.US,Consumer Defensive,Education & Training Services
XGN.US,Healthcare,Diagnostics & Research
BFC.US,Financial Services,Banks—Regional
RCKT.US,Healthcare,Biotechnology
CMG.US,Consumer Cyclical,Restaurants
RBCAA.US,Financial Services,Banks—Regional
JACK.US,Consumer Cyclical,Restaurants
LYLT.US,Technology,Software—Infrastructure
MYMD.US,Healthcare,Biotechnology
ACST.US,Healthcare,Biotechnology
ATEX.US,Communication Services,Telecom Services
CPTN.US,Technology,Scientific & Technical Instruments
HEI.US,Industrials,Aerospace & Defense
WAT.US,Healthcare,Diagnostics & Research
DNLI.US,Healthcare,Biotechnology
AAWW.US,Industrials,Airports & Air Services
CSTL.US,Healthcare,Diagnostics & Research
CRUS.US,Technology,Semiconductors
TS.US,Energy,Oil & Gas Equipment & Services
SONY.US,Technology,Consumer Electronics
BOKF.US,Financial Services,Banks—Regional
AMRX.US,Healthcare,Drug Manufacturers—Specialty & Generic
CTLT.US,Healthcare,Drug Manufacturers—Specialty & Generic
OM.US,Healthcare,Medical Devices
AGM.US,Financial Services,Credit Services
HSAI.US,Consumer Cyclical,Auto Parts
TW.US,Financial Services,Capital Markets
CXM.US,Technology,Software—Application
KIM_M.US,NA,NA
AAOI.US,Technology,Communication Equipment
ARWR.US,Healthcare,Biotechnology
DVA.US,Healthcare,Medical Care Facilities
GATX.US,Industrials,Rental & Leasing Services
RKDA.US,Consumer Defensive,Packaged Foods
AMRS.US,Basic Materials,Specialty Chemicals
EBF.US,Industrials,Business Equipment & Supplies
KNX.US,Industrials,Trucking
MDLZ.US,Consumer Defensive,Confectioners
IREN.US,Financial Services,Capital Markets
SCE_K.US,NA,NA
DFS.US,Financial Services,Credit Services
TEAM.US,Technology,Software—Application
NVDA.US,Technology,Semiconductors
BIGC.US,Technology,Software—Application
GLOP_A.US,NA,NA
FLXS.US,Consumer Cyclical,Furnishings Fixtures & Appliances
BJRI.US,Consumer Cyclical,Restaurants
FHN.US,Financial Services,Banks—Regional
LEJU.US,Real Estate,Real Estate Services
AHPI.US,Healthcare,Medical Devices
FUN.US,Consumer Cyclical,Leisure
YY.US,Communication Services,Internet Content & Information
HTHT.US,Consumer Cyclical,Lodging
UNH.US,Healthcare,Healthcare Plans
GTLS.US,Industrials,Specialty Industrial Machinery
STNE.US,Technology,Software—Infrastructure
TOST.US,Technology,Software—Infrastructure
NOV.US,Energy,Oil & Gas Equipment & Services
XPEL.US,Consumer Cyclical,Auto Parts
OCFC.US,Financial Services,Banks—Regional
WEC.US,Utilities,Utilities—Regulated Electric
VYNT.US,Healthcare,Biotechnology
ABEO.US,Healthcare,Biotechnology
FCX.US,Basic Materials,Copper
FGEN.US,Healthcare,Biotechnology
CMRE_E.US,NA,NA
KE.US,Industrials,Electrical Equipment & Parts
MET_F.US,NA,NA
NIU.US,Consumer Cyclical,Auto Manufacturers
CSTE.US,Industrials,Building Products & Equipment
JRVR.US,Financial Services,Insurance—Specialty
PODD.US,Healthcare,Medical Devices
SPG.US,Real Estate,REIT—Retail
STRT.US,Consumer Cyclical,Auto Parts
HCXY.US,NA,NA
CAPR.US,Healthcare,Biotechnology
ACN.US,Technology,Information Technology Services
YI.US,Healthcare,Pharmaceutical Retailers
SRRK.US,Healthcare,Biotechnology
TCBI.US,Financial Services,Banks—Regional
BEST.US,Industrials,Trucking
CARA.US,Healthcare,Biotechnology
EURN.US,Energy,Oil & Gas Midstream
QCRH.US,Financial Services,Banks—Regional
WMS.US,Industrials,Building Products & Equipment
SRPT.US,Healthcare,Biotechnology
MSGS.US,Communication Services,Entertainment
BPTH.US,Healthcare,Biotechnology
MLVF.US,Financial Services,Banks—Regional
BCRX.US,Healthcare,Biotechnology
BHR_B.US,NA,NA
MYRG.US,Industrials,Engineering & Construction
PNTG.US,Healthcare,Medical Care Facilities
SCYX.US,Healthcare,Drug Manufacturers—Specialty & Generic
SILK.US,Healthcare,Medical Devices
JAN.US,Industrials,Waste Management
KZR.US,Healthcare,Biotechnology
SQSP.US,Technology,Software—Infrastructure
AGNCO.US,Real Estate,REIT—Mortgage
FIVE.US,Consumer Cyclical,Specialty Retail
PLBY.US,Consumer Cyclical,Leisure
COMM.US,Technology,Communication Equipment
PDS.US,Energy,Oil & Gas Drilling
STVN.US,Healthcare,Medical Instruments & Supplies
CLNN.US,Healthcare,Biotechnology
DADA.US,Consumer Cyclical,Internet Retail
RY_T.US,NA,NA
PTRA.US,Consumer Cyclical,Auto Manufacturers
TRU.US,Industrials,Consulting Services
TIG.US,Financial Services,Insurance—Specialty
CATO.US,Consumer Cyclical,Apparel Retail
SUI.US,Real Estate,REIT—Residential
INN_F.US,NA,NA
KTB.US,Consumer Cyclical,Apparel Manufacturing
LQDT.US,Consumer Cyclical,Internet Retail
NEM.US,Basic Materials,Gold
DSGN.US,Healthcare,Biotechnology
MAYS.US,Real Estate,Real Estate Services
WNS.US,Technology,Information Technology Services
HMC.US,Consumer Cyclical,Auto Manufacturers
AJG.US,Financial Services,Insurance Brokers
OTTR.US,Utilities,Utilities—Diversified
AHT.US,Real Estate,REIT—Hotel & Motel
INGR.US,Consumer Defensive,Packaged Foods
EVGO.US,Consumer Cyclical,Specialty Retail
NKTX.US,Healthcare,Biotechnology
PGY.US,Technology,Software—Infrastructure
KHC.US,Consumer Defensive,Packaged Foods
GOL.US,Industrials,Airlines
FHI.US,Financial Services,Asset Management
FOCS.US,Financial Services,Asset Management
ESNT.US,Financial Services,Insurance—Specialty
GOTU.US,Consumer Defensive,Education & Training Services
DCOM.US,Financial Services,Banks—Regional
PAYC.US,Technology,Software—Application
HPP.US,Real Estate,REIT—Office
HT_C.US,NA,NA
EME.US,Industrials,Engineering & Construction
MAT.US,Consumer Cyclical,Leisure
NIC.US,Financial Services,Banks—Regional
LGND.US,Healthcare,Biotechnology
DCT.US,Technology,Software—Application
CXW.US,Industrials,Security & Protection Services
IDBA.US,Technology,Software—Application
AOUT.US,Consumer Cyclical,Leisure
OPNT.US,Healthcare,Biotechnology
PFX.US,Financial Services,Asset Management
SPNS.US,Technology,Software—Application
VOYA.US,Financial Services,Financial Conglomerates
BL.US,Technology,Software—Application
KPLT.US,Technology,Software—Infrastructure
RYN.US,Real Estate,REIT—Specialty
IPWR.US,Industrials,Electrical Equipment & Parts
TEDU.US,Consumer Defensive,Education & Training Services
MVBF.US,Financial Services,Banks—Regional
BHP.US,Basic Materials,Other Industrial Metals & Mining
PJT.US,Financial Services,Capital Markets
EQH_A.US,NA,NA
SLMBP.US,Financial Services,Credit Services
AVTE.US,Healthcare,Biotechnology
DBRG.US,Real Estate,Real Estate Services
PDI.US,Financial Services,Asset Management
AMSF.US,Financial Services,Insurance—Specialty
MRTN.US,Industrials,Trucking
WSC.US,Industrials,Rental & Leasing Services
FFIV.US,Technology,Software—Infrastructure
SNDR.US,Industrials,Trucking
FNF.US,Financial Services,Insurance—Specialty
LOOP.US,Basic Materials,Specialty Chemicals
MS.US,Financial Services,Capital Markets
HLBZ.US,Consumer Cyclical,Recreational Vehicles
BOC.US,Communication Services,Advertising Agencies
ALG.US,Industrials,Farm & Heavy Construction Machinery
CVLG.US,Industrials,Trucking
GHSI.US,Healthcare,Drug Manufacturers—Specialty & Generic
BOLT.US,Healthcare,Biotechnology
NYCB_U.US,NA,NA
SQM.US,Basic Materials,Specialty Chemicals
SRC_A.US,NA,NA
DARE.US,Healthcare,Biotechnology
GNLX.US,Healthcare,Biotechnology
MASS.US,Healthcare,Medical Devices
STG.US,Consumer Defensive,Education & Training Services
WRB.US,Financial Services,Insurance—Property & Casualty
CACI.US,Technology,Information Technology Services
MRK.US,Healthcare,Drug Manufacturers—General
VEEV.US,Healthcare,Health Information Services
SFBC.US,Financial Services,Banks—Regional
CIO.US,Real Estate,REIT—Office
AZPN.US,Technology,Software—Application
SLCA.US,Energy,Oil & Gas Equipment & Services
AOS.US,Industrials,Specialty Industrial Machinery
CONN.US,Consumer Cyclical,Specialty Retail
HLIO.US,Industrials,Specialty Industrial Machinery
PRI.US,Financial Services,Insurance—Life
SNV_D.US,NA,NA
WWW.US,Consumer Cyclical,Footwear & Accessories
GSHD.US,Financial Services,Insurance—Diversified
AIC.US,NA,NA
RGCO.US,Utilities,Utilities—Regulated Gas
TRDA.US,Healthcare,Biotechnology
COWNL.US,NA,NA
CINF.US,Financial Services,Insurance—Property & Casualty
BELFB.US,Technology,Electronic Components
CUK.US,Consumer Cyclical,Leisure
IOVA.US,Healthcare,Biotechnology
CACC.US,Financial Services,Credit Services
CYAD.US,Healthcare,Biotechnology
BHFAP.US,Financial Services,Insurance—Life
ZUO.US,Technology,Software—Infrastructure
ATCO_D.US,NA,NA
FSR.US,Consumer Cyclical,Auto Manufacturers
LFMDP.US,Healthcare,Pharmaceutical Retailers
MNKD.US,Healthcare,Biotechnology
VYGR.US,Healthcare,Biotechnology
AVGO.US,Technology,Semiconductors
MGRC.US,Industrials,Rental & Leasing Services
DM.US,Technology,Computer Hardware
FUV.US,Consumer Cyclical,Recreational Vehicles
IXHL.US,Healthcare,Drug Manufacturers—Specialty & Generic
NBIX.US,Healthcare,Drug Manufacturers—Specialty & Generic
F_C.US,NA,NA
RDCM.US,Communication Services,Telecom Services
UI.US,Technology,Communication Equipment
APPS.US,Technology,Software—Application
CAE.US,Industrials,Aerospace & Defense
GRC.US,Industrials,Specialty Industrial Machinery
TEVA.US,Healthcare,Drug Manufacturers—Specialty & Generic
SEMR.US,Technology,Software—Application
SXI.US,Industrials,Specialty Industrial Machinery
PNR.US,Industrials,Specialty Industrial Machinery
VALU.US,Financial Services,Financial Data & Stock Exchanges
AVB.US,Real Estate,REIT—Residential
MTRX.US,Industrials,Engineering & Construction
METC.US,Basic Materials,Coking Coal
VRA.US,Consumer Cyclical,Footwear & Accessories
CBSH.US,Financial Services,Banks—Regional
TZOO.US,Communication Services,Advertising Agencies
PLPC.US,Industrials,Electrical Equipment & Parts
TDC.US,Technology,Software—Infrastructure
LSCC.US,Technology,Semiconductors
DWACU.US,Financial Services,Shell Companies
AQUA.US,Industrials,Pollution & Treatment Controls
JANX.US,Healthcare,Biotechnology
CNXC.US,Technology,Information Technology Services
JHX.US,Basic Materials,Building Materials
CMRE_D.US,NA,NA
HRT.US,Industrials,Staffing & Employment Services
STAR.US,Real Estate,REIT—Diversified
WASH.US,Financial Services,Banks—Regional
AGIO.US,Healthcare,Biotechnology
MEI.US,Technology,Electronic Components
BBSI.US,Industrials,Staffing & Employment Services
RNLX.US,Healthcare,Health Information Services
UHS.US,Healthcare,Medical Care Facilities
TUP.US,Consumer Cyclical,Packaging & Containers
CMS.US,Utilities,Utilities—Regulated Electric
ALLT.US,Technology,Software—Infrastructure
CODX.US,Healthcare,Medical Devices
CHX.US,Energy,Oil & Gas Equipment & Services
ICCH.US,Financial Services,Insurance—Specialty
SBUX.US,Consumer Cyclical,Restaurants
HOMB.US,Financial Services,Banks—Regional
GLMD.US,Healthcare,Biotechnology
IMMR.US,Technology,Software—Application
PRIF_K.US,NA,NA
FLWS.US,Consumer Cyclical,Specialty Retail
ATH_A.US,NA,NA
AFG.US,Financial Services,Insurance—Property & Casualty
ETX.US,Financial Services,Asset Management
INVE.US,Technology,Computer Hardware
PRLD.US,Healthcare,Biotechnology
REXR_C.US,NA,NA
SPRO.US,Healthcare,Biotechnology
ONTO.US,Technology,Semiconductor Equipment & Materials
EXPO.US,Industrials,Consulting Services
MRCY.US,Industrials,Aerospace & Defense
ANNX.US,Healthcare,Biotechnology
SCE_G.US,NA,NA
GRP-U.US,NA,NA
PTE.US,Healthcare,Biotechnology
TGNA.US,Communication Services,Broadcasting
YEXT.US,Technology,Software—Infrastructure
ENTA.US,Healthcare,Biotechnology
RILYM.US,NA,NA
ATKR.US,Industrials,Electrical Equipment & Parts
MSTR.US,Technology,Software—Application
GMVD.US,Healthcare,Medical Instruments & Supplies
KERN.US,Healthcare,Health Information Services
AME.US,Industrials,Specialty Industrial Machinery
ARES.US,Financial Services,Asset Management
CMCM.US,Communication Services,Internet Content & Information
BC.US,Consumer Cyclical,Recreational Vehicles
FLNG.US,Energy,Oil & Gas Midstream
AUB_A.US,NA,NA
IGT.US,Consumer Cyclical,Gambling
IMTX.US,Healthcare,Biotechnology
TROX.US,Basic Materials,Chemicals
ED.US,Utilities,Utilities—Regulated Electric
ROP.US,Technology,Software—Application
DXR.US,Healthcare,Medical Instruments & Supplies
AHT_D.US,NA,NA
TFC_I.US,NA,NA
ELVN.US,Healthcare,Biotechnology
SCHN.US,Basic Materials,Steel
MTW.US,Industrials,Farm & Heavy Construction Machinery
IBRX.US,Healthcare,Biotechnology
TEO.US,Communication Services,Telecom Services
CHMG.US,Financial Services,Banks—Regional
BMI.US,Technology,Scientific & Technical Instruments
DKS.US,Consumer Cyclical,Specialty Retail
NS_C.US,NA,NA
PKOH.US,Industrials,Specialty Industrial Machinery
BALL.US,Consumer Cyclical,Packaging & Containers
DTLA_.US,NA,NA
SBNY.US,Financial Services,Banks—Regional
YETI.US,Consumer Cyclical,Leisure
COF_I.US,NA,NA
BORR.US,Energy,Oil & Gas Drilling
SIG.US,Consumer Cyclical,Luxury Goods
SIBN.US,Healthcare,Medical Devices
MARA.US,Financial Services,Capital Markets
TREE.US,Financial Services,Financial Conglomerates
WLK.US,Basic Materials,Specialty Chemicals
HPQ.US,Technology,Computer Hardware
CARR.US,Industrials,Building Products & Equipment
BFLY.US,Healthcare,Medical Devices
TYRA.US,Healthcare,Biotechnology
BPYPO.US,Real Estate,Real Estate Services
WKSP.US,Consumer Cyclical,Auto Parts
ZBH.US,Healthcare,Medical Devices
MGNI.US,Communication Services,Advertising Agencies
KKR.US,Financial Services,Asset Management
COP.US,Energy,Oil & Gas E&P
DLPN.US,Communication Services,Advertising Agencies
SF_B.US,NA,NA
ACMR.US,Technology,Semiconductor Equipment & Materials
AVGR.US,Healthcare,Medical Instruments & Supplies
LSXMA.US,Communication Services,Broadcasting
BERY.US,Consumer Cyclical,Packaging & Containers
CCJ.US,Energy,Uranium
TRMK.US,Financial Services,Banks—Regional
GIII.US,Consumer Cyclical,Apparel Manufacturing
GECCN.US,NA,NA
NERV.US,Healthcare,Biotechnology
G.US,Technology,Information Technology Services
COOK.US,Consumer Cyclical,Furnishings Fixtures & Appliances
HCP.US,Technology,Software—Infrastructure
NGVT.US,Basic Materials,Specialty Chemicals
YVR.US,Communication Services,Electronic Gaming & Multimedia
BLX.US,Financial Services,Banks—Regional
OXY-WS.US,Energy,Oil & Gas E&P
FE.US,Utilities,Utilities—Regulated Electric
VUZI.US,Technology,Consumer Electronics
BAK.US,Basic Materials,Chemicals
YMAB.US,Healthcare,Biotechnology
CRNC.US,Technology,Software—Application
BWV.US,Healthcare,Biotechnology
BZUN.US,Consumer Cyclical,Internet Retail
SPT.US,Technology,Software—Application
CHPT.US,Consumer Cyclical,Specialty Retail
GDRX.US,Healthcare,Health Information Services
LOPE.US,Consumer Defensive,Education & Training Services
CYTO.US,Healthcare,Biotechnology
MDRX.US,Healthcare,Health Information Services
KW.US,Real Estate,Real Estate Services
RIDE.US,Consumer Cyclical,Auto Manufacturers
WEN.US,Consumer Cyclical,Restaurants
LEG.US,Consumer Cyclical,Furnishings Fixtures & Appliances
ALLO.US,Healthcare,Biotechnology
CDRE.US,Industrials,Aerospace & Defense
GH.US,Healthcare,Diagnostics & Research
INSM.US,Healthcare,Biotechnology
RILY.US,Financial Services,Financial Conglomerates
FDBC.US,Financial Services,Banks—Regional
IIIV.US,Technology,Software—Infrastructure
VRSN.US,Technology,Software—Infrastructure
WEX.US,Technology,Software—Infrastructure
AFMD.US,Healthcare,Biotechnology
REZI.US,Industrials,Security & Protection Services
ES.US,Utilities,Utilities—Regulated Electric
SF.US,Financial Services,Capital Markets
CLXT.US,Healthcare,Biotechnology
HT_E.US,NA,NA
PCTTU.US,Industrials,Pollution & Treatment Controls
ASO.US,Consumer Cyclical,Specialty Retail
CMSA.US,NA,NA
AMST.US,Technology,Software—Application
FRHC.US,Financial Services,Capital Markets
FHTX.US,Healthcare,Biotechnology
NWLI.US,Financial Services,Insurance—Life
TDS.US,Communication Services,Telecom Services
HPKEW.US,NA,NA
XRAY.US,Healthcare,Medical Instruments & Supplies
AAP.US,Consumer Cyclical,Specialty Retail
BKKT.US,Technology,Software—Infrastructure
PEGA.US,Technology,Software—Application
GREE.US,Financial Services,Capital Markets
MMP.US,Energy,Oil & Gas Midstream
GTH.US,Healthcare,Diagnostics & Research
CMSC.US,NA,NA
ESGRP.US,Financial Services,Insurance—Diversified
MS_K.US,NA,NA
NC.US,Energy,Thermal Coal
ENPH.US,Technology,Solar
SB_C.US,NA,NA
MRNS.US,Healthcare,Biotechnology
ADI.US,Technology,Semiconductors
BARK.US,Consumer Cyclical,Specialty Retail
EA.US,Communication Services,Electronic Gaming & Multimedia
SNX.US,Technology,Electronics & Computer Distribution
MCFT.US,Consumer Cyclical,Recreational Vehicles
CPE.US,Energy,Oil & Gas E&P
STAR_I.US,NA,NA
KEYS.US,Technology,Scientific & Technical Instruments
KRT.US,Consumer Cyclical,Packaging & Containers
CHSCM.US,Consumer Defensive,Farm Products
EGLE.US,Industrials,Marine Shipping
ANGI.US,Communication Services,Internet Content & Information
CWCO.US,Utilities,Utilities—Regulated Water
GWRE.US,Technology,Software—Application
OEC.US,Basic Materials,Specialty Chemicals
WELL.US,Real Estate,REIT—Healthcare Facilities
DT.US,Technology,Software—Application
SBAC.US,Real Estate,REIT—Specialty
POWI.US,Technology,Semiconductors
PTLO.US,Consumer Cyclical,Restaurants
SLDB.US,Healthcare,Biotechnology
HYFM.US,Industrials,Farm & Heavy Construction Machinery
TLRY.US,Healthcare,Drug Manufacturers—Specialty & Generic
WF.US,Financial Services,Banks—Regional
MOTS.US,Healthcare,Medical Devices
DRRX.US,Healthcare,Drug Manufacturers—Specialty & Generic
PTEN.US,Energy,Oil & Gas Drilling
BAH.US,Industrials,Consulting Services
SIOX.US,Healthcare,Biotechnology
WTBA.US,Financial Services,Banks—Regional
PHVS.US,Healthcare,Biotechnology
ALLK.US,Healthcare,Biotechnology
CBRL.US,Consumer Cyclical,Restaurants
SDGR.US,Healthcare,Health Information Services
SLG_I.US,NA,NA
XERS.US,Healthcare,Biotechnology
GEF.US,Consumer Cyclical,Packaging & Containers
SJIV.US,NA,NA
SO.US,Utilities,Utilities—Regulated Electric
NNOX.US,Healthcare,Medical Devices
MTEM.US,Healthcare,Biotechnology
SMP.US,Consumer Cyclical,Auto Parts
AQNA.US,NA,NA
NKTR.US,Healthcare,Biotechnology
AMTX.US,Energy,Oil & Gas Refining & Marketing
HNI.US,Industrials,Business Equipment & Supplies
WHG.US,Financial Services,Asset Management
CF.US,Basic Materials,Agricultural Inputs
WAVE.US,Utilities,Utilities—Renewable
POAI.US,Healthcare,Medical Instruments & Supplies
ENVB.US,Healthcare,Biotechnology
MTP.US,Healthcare,Biotechnology
RHP.US,Real Estate,REIT—Hotel & Motel
RIO.US,Basic Materials,Other Industrial Metals & Mining
AKAN.US,Healthcare,Drug Manufacturers—Specialty & Generic
SGTX.US,Healthcare,Biotechnology
LPG.US,Energy,Oil & Gas Midstream
PBYI.US,Healthcare,Biotechnology
PEBO.US,Financial Services,Banks—Regional
PNFP.US,Financial Services,Banks—Regional
ELDN.US,Healthcare,Biotechnology
SPFI.US,Financial Services,Banks—Regional
TCBIO.US,Financial Services,Banks—Regional
NATH.US,Consumer Cyclical,Restaurants
HSDT.US,Healthcare,Medical Devices
APEN.US,Healthcare,Medical Devices
GS_K.US,NA,NA
ZD.US,Communication Services,Advertising Agencies
TOP.US,Financial Services,Capital Markets
APPH.US,Consumer Defensive,Farm Products
BPOP.US,Financial Services,Banks—Regional
RATE.US,NA,NA
AMH_H.US,NA,NA
OBNK.US,Financial Services,Banks—Regional
RNXT.US,Healthcare,Biotechnology
LGF-B.US,NA,NA
SLRX.US,Healthcare,Biotechnology
SOL.US,Technology,Solar
BYSI.US,Healthcare,Biotechnology
NINE.US,Energy,Oil & Gas Equipment & Services
KPTI.US,Healthcare,Biotechnology
FHN_E.US,NA,NA
EXC.US,Utilities,Utilities—Regulated Electric
AKYA.US,Healthcare,Medical Instruments & Supplies
BTB.US,Consumer Cyclical,Restaurants
OTLY.US,Consumer Defensive,Beverages—Non-Alcoholic
CHEK.US,Healthcare,Diagnostics & Research
STRO.US,Healthcare,Biotechnology
IT.US,Technology,Information Technology Services
NLY_I.US,NA,NA
WAFD.US,Financial Services,Banks—Regional
LWAY.US,Consumer Defensive,Packaged Foods
OSK.US,Industrials,Farm & Heavy Construction Machinery
ARQQ.US,Technology,Software—Infrastructure
