,Unnamed: 0,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,sector,industry
1967,1967,A.US,D,20070924,0,23.8863,24.0397,23.6142,23.7528,2614134.5251231,0,Healthcare,Diagnostics & Research
1968,1968,A.US,D,20070925,0,23.6481,24.0098,23.6212,23.8863,2351078.7363366,0,Healthcare,Diagnostics & Research
1969,1969,A.US,D,20070926,0,24.1344,24.1344,23.8743,23.9899,3022819.9622405,0,Healthcare,Diagnostics & Research
1970,1970,A.US,D,20070927,0,24.0338,24.1763,23.8863,24.0208,2926459.3986328,0,Healthcare,Diagnostics & Research
1971,1971,A.US,D,20070928,0,23.971,24.1424,23.7906,23.957,3488910.9025778,0,Healthcare,Diagnostics & Research
1972,1972,A.US,D,20071001,0,24.0158,24.3656,23.971,24.0397,5600940.7001151,0,Healthcare,Diagnostics & Research
1973,1973,A.US,D,20071002,0,23.971,24.2012,23.971,24.0338,3205068.5113318,0,Healthcare,Diagnostics & Research
1974,1974,A.US,D,20071003,0,23.9959,24.0676,23.669,23.9261,2077398.8401715,0,Healthcare,Diagnostics & Research
1975,1975,A.US,D,20071004,0,23.951,24.254,23.9441,24.1693,3067611.4076774,0,Healthcare,Diagnostics & Research
1976,1976,A.US,D,20071005,0,24.2998,24.6407,24.2669,24.5489,2381248.1104962,0,Healthcare,Diagnostics & Research
1977,1977,A.US,D,20071008,0,24.5101,24.6805,24.4443,24.6127,1537727.9031104,0,Healthcare,Diagnostics & Research
1978,1978,A.US,D,20071009,0,24.6267,24.8121,24.5998,24.7931,2021367.1352893,0,Healthcare,Diagnostics & Research
1979,1979,A.US,D,20071010,0,24.7333,24.8121,24.4852,24.5998,1826134.2350722,0,Healthcare,Diagnostics & Research
1980,1980,A.US,D,20071011,0,24.6805,24.8439,24.1693,24.2271,2688644.7709771,0,Healthcare,Diagnostics & Research
1981,1981,A.US,D,20071012,0,24.3257,24.5599,24.1494,24.4323,1346092.5682991,0,Healthcare,Diagnostics & Research
1982,1982,A.US,D,20071015,0,24.6267,25.1099,24.4323,24.8061,3241470.6550132,0,Healthcare,Diagnostics & Research
1983,1983,A.US,D,20071016,0,25.0601,25.5455,24.7263,24.8837,4036918.9591345,0,Healthcare,Diagnostics & Research
1984,1984,A.US,D,20071017,0,25.0453,25.2395,24.6665,24.9267,3539701.3008728,0,Healthcare,Diagnostics & Research
1985,1985,A.US,D,20071018,0,24.9785,25.0771,24.7143,24.9655,1067327.9123261,0,Healthcare,Diagnostics & Research
1986,1986,A.US,D,20071019,0,24.9515,24.9515,24.1822,24.2341,2735589.7381325,0,Healthcare,Diagnostics & Research
1987,1987,A.US,D,20071022,0,23.978,24.0945,23.4976,23.7786,2094178.4471873,0,Healthcare,Diagnostics & Research
1988,1988,A.US,D,20071023,0,23.9959,24.2869,23.8414,24.254,2196539.9706631,0,Healthcare,Diagnostics & Research
1989,1989,A.US,D,20071024,0,24.0826,24.248,23.662,23.971,4088146.8856072,0,Healthcare,Diagnostics & Research
1990,1990,A.US,D,20071025,0,24.0338,24.1225,23.39,23.5435,2339996.0271754,0,Healthcare,Diagnostics & Research
1991,1991,A.US,D,20071026,0,23.7836,24.0338,23.0233,23.409,2002050.667647,0,Healthcare,Diagnostics & Research
1992,1992,A.US,D,20071029,0,23.5435,23.7089,23.3143,23.409,2234327.9547422,0,Healthcare,Diagnostics & Research
1993,1993,A.US,D,20071030,0,23.3083,23.5026,23.0422,23.2954,1846200.3209455,0,Healthcare,Diagnostics & Research
1994,1994,A.US,D,20071031,0,23.4777,23.964,23.2814,23.9381,2643695.775256,0,Healthcare,Diagnostics & Research
1995,1995,A.US,D,20071101,0,23.8225,24.0746,23.5375,23.5564,2960166.1278987,0,Healthcare,Diagnostics & Research
1996,1996,A.US,D,20071102,0,23.6142,23.8683,23.2704,23.402,2021213.5990252,0,Healthcare,Diagnostics & Research
1997,1997,A.US,D,20071105,0,23.0702,23.383,22.834,23.1858,3247775.6768947,0,Healthcare,Diagnostics & Research
1998,1998,A.US,D,20071106,0,23.2366,23.5504,22.9944,23.4718,3414872.3040714,0,Healthcare,Diagnostics & Research
1999,1999,A.US,D,20071107,0,23.1458,23.4976,22.7552,22.7951,3275531.6215421,0,Healthcare,Diagnostics & Research
2000,2000,A.US,D,20071108,0,22.9098,22.9098,22.1743,22.7254,3660233.289287,0,Healthcare,Diagnostics & Research
2001,2001,A.US,D,20071109,0,22.3796,22.4134,21.6202,21.69,4919136.3261246,0,Healthcare,Diagnostics & Research
2002,2002,A.US,D,20071112,0,21.3531,22.0696,21.3531,21.7707,4321353.4183275,0,Healthcare,Diagnostics & Research
2003,2003,A.US,D,20071113,0,21.9072,22.0956,21.684,22.0298,2824290.548116,0,Healthcare,Diagnostics & Research
2004,2004,A.US,D,20071114,0,22.1195,22.4064,21.953,22.2191,2829179.6244499,0,Healthcare,Diagnostics & Research
2005,2005,A.US,D,20071115,0,21.8992,22.7054,21.8036,21.8943,3749657.6263717,0,Healthcare,Diagnostics & Research
2006,2006,A.US,D,20071116,0,22.7314,24.0098,22.6914,23.8544,9586308.6041688,0,Healthcare,Diagnostics & Research
2007,2007,A.US,D,20071119,0,23.662,23.8932,23.2116,23.2555,5396787.6440005,0,Healthcare,Diagnostics & Research
2008,2008,A.US,D,20071120,0,23.2485,23.9839,23.2485,23.7208,4380517.062298,0,Healthcare,Diagnostics & Research
2009,2009,A.US,D,20071121,0,23.5694,24.1085,23.3621,23.8414,3580409.4844864,0,Healthcare,Diagnostics & Research
2010,2010,A.US,D,20071123,0,23.951,24.0477,23.7528,23.978,1316479.1359065,0,Healthcare,Diagnostics & Research
2011,2011,A.US,D,20071126,0,23.9321,24.4085,23.7398,23.7398,3589801.2877315,0,Healthcare,Diagnostics & Research
2012,2012,A.US,D,20071127,0,23.696,24.1424,23.6481,23.9261,3844604.2514419,0,Healthcare,Diagnostics & Research
2013,2013,A.US,D,20071128,0,24.0547,24.7333,23.9381,24.6536,3525625.1363126,0,Healthcare,Diagnostics & Research
2014,2014,A.US,D,20071129,0,24.6197,24.7791,24.3188,24.3467,4752515.3603155,0,Healthcare,Diagnostics & Research
2015,2015,A.US,D,20071130,0,24.6805,24.6875,24.4134,24.5729,2897856.4957699,0,Healthcare,Diagnostics & Research
2016,2016,A.US,D,20071203,0,24.3527,24.8121,24.3527,24.5241,2225514.170374,0,Healthcare,Diagnostics & Research
2017,2017,A.US,D,20071204,0,24.4264,24.7791,24.3188,24.3527,4664759.8520369,0,Healthcare,Diagnostics & Research
2018,2018,A.US,D,20071205,0,24.6337,24.8121,24.3775,24.5799,3102400.9188325,0,Healthcare,Diagnostics & Research
2019,2019,A.US,D,20071206,0,24.5729,24.8121,24.3586,24.6536,3589289.5001842,0,Healthcare,Diagnostics & Research
